injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,2.767800,0.043247,71.621324,3.419450,43.484211,28.137113,27678,27845
0.2,3.565800,0.055716,1225.292361,3.012375,77.093359,1148.199002,35658,35976
0.3,3.590700,0.056105,2424.610327,2.976291,78.139444,2346.470883,35907,36220
0.4,3.592500,0.056133,3067.294335,2.990420,78.545525,2988.748810,35925,36242
0.5,3.572800,0.055825,3456.475761,2.995710,79.194245,3377.281516,35728,36051
0.6,3.592600,0.056134,3711.114597,2.989915,78.496075,3632.618521,35926,36247
0.8,3.592700,0.056136,4037.084449,2.990934,78.423191,3958.661258,35927,36249
1.0,3.592800,0.056137,4232.736139,2.989477,78.065464,4154.670675,35928,36252
